headword,type,cefr,meaning,ipa,example,image_link,topic
afterward,adverb,B1,later,/'?t?w?d/,They went out afterward.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
afterwards,adverb,B1,later,/'?t?w?dz/,She apologized afterwards.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
again,adverb,A1,one more time,/?'gen/,Can you do it again?,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
against,preposition,A2,in opposition to,/?'genst/,They protested against the government.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
age,noun,A1,the period during which a person lives,/e?d?/,She is in her thirties.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
aged,adjective,A2,of a certain age,/e?d?d/,The aged population is growing.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
ageless,adjective,B2,not affected by age,/'e?dl?s/,She looks ageless.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
agency,noun,A2,an organization that provides a particular service,/'e?d??nsi/,The travel agency arranged the trip.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
agenda,noun,B1,a list of things that need to be done,/?'d?end?/,The agenda for the meeting was released.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
agent,noun,A2,someone who works for a company and sells its products,/'e?d??nt/,He is a real estate agent.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
aggressive,adjective,B1,forceful and determined,/?'gres?v/,He is an aggressive salesperson.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
aggressively,adverb,B2,in an aggressive way,/?'gres?vli/,She approached the situation aggressively.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
ago,adverb,A1,a period of time before the present,/?'g??/,I saw her two days ago.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
agonize/agonise,verb,B2,to suffer physical pain,/'??na?z/,She agonized over her decision.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
agony,noun,B2,extreme physical pain,/'??ni/,She was in agony.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
agree,verb,A1,to have the same opinion as somebody,/?'gri?/,Do you agree with me?,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
agreement,noun,B1,a situation in which people have the same opinion,/?'gri?m?nt/,They reached an agreement.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
agricultural,adjective,B1,relating to farming,/??r?'k?lt??r?l/,The agricultural industry is important.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
agriculture,noun,B1,the business of growing crops and raising animals,/'?r?k?lt??/,He studied agriculture at university.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
ahead,adverb,A2,in front,/?'hed/,The car was parked ahead.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
aid,noun,B1,help,/e?d/,They provided aid to the victims.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
aid,verb,B1,to help,/e?d/,The government aided the refugees.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
aim,noun,B1,a goal that you want to achieve,/e?m/,The aim of the project was to increase efficiency.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
aim,verb,B2,to direct something,/e?m/,She aimed the gun at the target.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
air,noun,A2,the substance that surrounds the Earth,/??/,The air was fresh and clean.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
air conditioning,noun,B1,a system that controls the temperature and humidity in a building,/?? 'k?nd???n??/,The air conditioning was broken.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
air force,noun,B1,the military force that operates aircraft,/?? 'f??s/,He joined the air force.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
aircraft,noun,B2,a vehicle that flies through the air,/'??kr?t/,The aircraft took off.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
aircrew,noun,B2,the people who operate an aircraft,/'??krju?/,The aircrew followed the flight plan.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
airline,noun,B1,a company that operates aircraft,/'??la?n/,She works for an airline.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
airplane/aeroplane,noun,A1,a vehicle that flies through the air,/'??ple?n/,The airplane landed safely.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
airport,noun,A1,a place where planes take off and land,/'??p??t/,They arrived at the airport.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
aisle,noun,A2,a passage between rows of seats in a theater or airplane,/e?l/,She walked down the aisle.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
alarm,noun,A2,a device that warns of danger,/?'l??m/,The alarm went off in the middle of the night.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
alarm,verb,B1,to warn of danger,/?'l??m/,The police were alarmed by the situation.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
alarm clock,noun,A2,a clock that wakes you up,/?'l??m kl?k/,She set the alarm clock for 6 a.m.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
album,noun,A1,a collection of photographs or recordings,/'?b?m/,The album contains beautiful landscapes.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
alcohol,noun,B1,a drink containing alcohol,/'?k?h?l/,He drank too much alcohol.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
alcoholic,adjective,B1,relating to alcohol,/??k?'h?l?k/,The bar is an alcoholic beverage.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
alcoholic,noun,B2,someone who is addicted to alcohol,/??k?'h?l?k/,He is an alcoholic.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
alcoholism,noun,B2,the state of being addicted to alcohol,/'?k?h?l?z?m/,The report highlighted the dangers of alcoholism.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
alert,verb,B2,to make somebody aware of a danger,/?'l??t/,The police alerted the public to the threat.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
alike,adjective,B1,similar,/?'la?k/,They are alike in many ways.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
alike,adverb,B1,in the same way,/?'la?k/,They laughed alike.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
alive,adjective,A2,living,/?'la?v/,The animal was still alive.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
all,adverb,A2,completely,/??l/,She is all alone.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
all,determiner,A1,every,/??l/,All the students were present.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
all,pronoun,A1,everything,/??l/,She took all the money.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
all right,adjective,A1,acceptable,/??l ra?t/,Is it all right if I leave early?,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
all right,adverb,A1,acceptable,/??l ra?t/,It's all right.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
allegation,noun,B2,an accusation that somebody has done something wrong,/???'ge???n/,The allegation was denied by the company.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
allergic,adjective,B1,having an allergy,/?'l?d??k/,She is allergic to peanuts.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
alliance,noun,B2,a formal agreement between two countries or groups,/?'la??ns/,The alliance was formed to combat terrorism.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
allow,verb,A2,to permit something,/?'la?/,They allowed him to leave early.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
allowance,noun,B1,money given regularly to a child,/?'la??ns/,She received an allowance for her chores.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
ally,noun,B2,a country or group that is formally allied with another,/'?a?/,The US is an ally of Japan.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
almost,adverb,A1,nearly,/'??lmost/,She is almost finished.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
alone,adjective,A2,by yourself,/?'l??n/,She walked alone in the park.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
alone,adverb,A1,by yourself,/?'l??n/,She was alone.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
along,adverb,A1,together with,/?'l??/,They went along with the plan.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
along,preposition,A2,together with,/?'l??/,She walked along the beach.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
alongside,preposition,B2,next to,/?'l??sa?d/,The houses were built alongside the river.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
aloud,adverb,B1,loud enough for others to hear,/?'la?d/,She sang aloud.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
alphabet,noun,B1,the set of letters used in a language,/'?f?bet/,The English alphabet has 26 letters.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
alphabetical,adjective,B2,in alphabetical order,/??f?'bet?kl/,The names were listed alphabetically.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
already,adverb,A1,before the expected or usual time,/??l'redi/,She had already left.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
alright,adjective,A2,acceptable,/??lra?t/,Is it alright if I leave early?,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
alright,adverb,A2,acceptable,/??lra?t/,It's alright.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
also,adverb,A1,too,/'??ls??/,I also like pizza.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
altar,noun,B2,a table or platform used for religious worship,/'??lt?/,The altar was decorated with flowers.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
alter,verb,B2,to change,/'??lt?/,The plan had to be altered.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
alternate,verb,B2,to take turns,/'??lt?ne?t/,They took turns driving.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
alternative,adjective,B1,one of two or more choices,/??l't??n?t?v/,The alternative solution was considered.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
alternative,noun,B1,one of two or more choices,/??l't??n?t?v/,She had two alternative options.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
alternatively,adverb,B2,as an alternative,/??l't??n?t?vli/,They could either walk or take a bus.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
although,conjunction,A2,even though,/??l'??/,"Although it was raining, they went out.",https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
altitude,noun,B2,height above sea level,/'?t?tju?d/,The plane flew at a high altitude.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
altogether,adverb,B1,completely,/??l't?g??/,She was altogether different.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
aluminum/aluminium,noun,B2,a light metal,/'?j?m?n?m/,The can was made of aluminum.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
always,adverb,A1,at all times,/'??lwe?z/,She is always kind.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
am,be-verb,A1,to be,/?/,I am happy.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
amaze,verb,B2,to surprise and delight,/?'me?z/,The magician amazed the audience.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
amazed,adjective,B1,surprised and delighted,/?'me?zd/,She was amazed by the performance.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
amazement,noun,B2,a feeling of surprise and delight,/?'me?zm?nt/,The audience was filled with amazement.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
amazing,adjective,B1,very good or impressive,/?'me?z??/,The view was amazing.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
amazingly,adverb,B2,in an amazing way,/?'me?z??li/,She ran the marathon amazingly.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
ambassador,noun,B2,a representative of a country,/?'b??d?/,He was appointed as the ambassador.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
ambiguity,noun,B2,uncertainty or lack of clarity,/?'b?gju?ti/,The instructions were full of ambiguity.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
ambiguous,adjective,B2,uncertain or unclear,/?'b?gju?s/,The situation was ambiguous.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
ambition,noun,A2,a strong desire to achieve something,/?'b???n/,She had a strong ambition to become a doctor.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
ambitious,adjective,B1,having a strong desire to achieve something,/?'b???s/,He is an ambitious person.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
ambulance,noun,B1,a vehicle used to take sick or injured people to hospital,/'?bj?l?ns/,The ambulance arrived quickly.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,
